S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC01G00157	6.10228152269798	5.79862179949928	6.05249652487797	5.57179759023111	6.08979039685997	6.10758014299709
GelC01G00160	4.42610524337427	4.16535463704386	4.94752298675315	7.10038974146092	7.432172278736	7.2462345830776
GelC01G00162	7.70778821176849	7.72093125831932	7.28001445782386	5.52138053498186	5.45699536303548	5.78768461442706
GelC01G00163	4.58520614216412	4.4579344907986	4.60132282323266	4.78655376361774	4.83840751061249	4.68146779545128
GelC01G00166	7.07141798565642	6.98943266799388	6.61326490759177	5.42105595237421	5.76568084094239	5.61390772289624
GelC01G00167	8.61559455514136	8.7188907445056	7.94874063625199	7.65704979732585	7.66774212764098	7.93128099199852
GelC01G00169	4.04306115899119	4.39016229514398	4.3302632895256	4.28034528168416	4.64279396983753	4.54284589591579
GelC01G00171	5.18298368855607	4.99370886815411	5.57998657889337	5.27991957988129	5.38923722472019	5.47466315383739
GelC01G00172	6.23221960581103	6.33402376844645	6.58750704783256	5.88703446533527	5.88363993634596	6.00129064915698
GelC01G00173	2.19510105418711	2.3316769432963	2.52022945298578	3.0319037870318	3.07994853723734	2.85707834105022
GelC01G00174	1.90448046181428	1.68641082380956	2.2318245447355	2.54087209975248	2.20998474758194	2.55437902925795
GelC01G00176	7.59697871983578	7.58659069251915	7.93756960276149	7.85437977876669	7.82346420950204	7.79539584843452
GelC01G00177	6.01177915881203	6.12059520829456	6.95893595496699	3.47025743741423	2.68717413761128	3.50581782013097
GelC01G00178	7.91175321990955	7.98374572580351	7.1487873592762	7.48356303405301	7.23397477599142	7.05331955080976
GelC01G00179	5.62284917507593	5.71799031778982	5.6058778587749	5.762333225837	5.6488480108087	5.34854567528772
GelC01G00180	6.19979119106655	5.91893415895095	5.95514165522389	6.02209710330329	6.27389520562981	6.2443438411585
GelC01G00181	6.61695489098292	6.84503231105912	6.03354403745054	6.02612065084364	6.2124877143247	6.01883203029643
GelC01G00182	5.39117673020575	5.26742533627336	5.55893371030901	4.6472115102694	4.5589327696975	4.60223177712825
GelC01G00183	4.70557684842279	4.77732692810352	4.68142981245136	3.70921705308488	3.83797530385748	3.98779280327742
GelC01G00185	5.64710448223799	5.70130879063233	5.29813899534098	5.84665327706393	5.75495273850936	5.49986535895243
GelC01G00186	3.96802486115869	4.04711320893849	4.52738393122621	3.7487112349495	3.66539832043678	3.50581782013097
GelC01G00188	5.7681567246764	5.73993648721997	5.39040892306311	6.10051028260171	6.08979039685997	6.20274130061087
GelC01G00191	1.90448046181428	1.27006660432624	1.72741265652122	3.93142878725951	4.06339260445468	3.93333474104646
